CountryCode,question_code,subset,answer,Mean
AL,Y16_Q41,All,Mean,7.9
ME,Y16_Q41,All,Mean,6.4
MK,Y16_Q41,All,Mean,6.3
RS,Y16_Q41,All,Mean,6.4
TR,Y16_Q41,All,Mean,5.9
AT,Y16_Q41,All,Mean,4.5
BE,Y16_Q41,All,Mean,5.8
BG,Y16_Q41,All,Mean,6.6
CY,Y16_Q41,All,Mean,6.1
CZ,Y16_Q41,All,Mean,6.2
DE,Y16_Q41,All,Mean,5.2
DK,Y16_Q41,All,Mean,3.8
EE,Y16_Q41,All,Mean,6
EL,Y16_Q41,All,Mean,8
ES,Y16_Q41,All,Mean,6.8
FI,Y16_Q41,All,Mean,4.5
FR,Y16_Q41,All,Mean,5.7
HR,Y16_Q41,All,Mean,6.4
HU,Y16_Q41,All,Mean,6.5
IE,Y16_Q41,All,Mean,4.9
IT,Y16_Q41,All,Mean,6.4
LT,Y16_Q41,All,Mean,6.4
LU,Y16_Q41,All,Mean,4.5
LV,Y16_Q41,All,Mean,7
MT,Y16_Q41,All,Mean,6.1
NL,Y16_Q41,All,Mean,4.3
PL,Y16_Q41,All,Mean,6.6
PT,Y16_Q41,All,Mean,7
RO,Y16_Q41,All,Mean,6.4
SE,Y16_Q41,All,Mean,4.1
SI,Y16_Q41,All,Mean,6.4
SK,Y16_Q41,All,Mean,6.4
UK,Y16_Q41,All,Mean,5
